,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Smith, Jefferson R. ",579, CONTINUING,579,28, CONTINUING,607,2, CONTINUING,609,2, CONTINUING,611,1, CONTINUING,612,4, CONTINUING,616,2, CONTINUING,618,2, CONTINUING,620,9, CONTINUING,629,4, CONTINUING,633,22, CONTINUING,655,36, CONTINUING,691,9, DEFEATED -- 13th count,700,-700, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0
"Leslie, Logan Edward ",504, CONTINUING,504,10, CONTINUING,514,4, CONTINUING,518,1, CONTINUING,519,0, CONTINUING,519,6, CONTINUING,525,1, CONTINUING,526,11, CONTINUING,537,5, CONTINUING,542,2, CONTINUING,544,12, CONTINUING,556,13, DEFEATED -- 12th count,569,-569, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0
"Von Hoffmann, Kristen . ",420, CONTINUING,420,20, CONTINUING,440,0, CONTINUING,440,5, CONTINUING,445,10, CONTINUING,455,7, CONTINUING,462,7, CONTINUING,469,1, CONTINUING,470,8, CONTINUING,478,7, CONTINUING,485,29, DEFEATED -- 11th count,514,-514, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0
"House, Janneke Ann ",410, CONTINUING,410,19, CONTINUING,429,0, CONTINUING,429,2, CONTINUING,431,2, CONTINUING,433,1, CONTINUING,434,3, CONTINUING,437,2, CONTINUING,439,8, CONTINUING,447,4, DEFEATED -- 10th count,451,-451, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0
"Mirza, Mushtaque A. ",284, CONTINUING,284,5, CONTINUING,289,5, CONTINUING,294,0, CONTINUING,294,3, CONTINUING,297,3, CONTINUING,300,10, CONTINUING,310,7, CONTINUING,317,7, DEFEATED -- 9th count,324,-324, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0
"Vasquez, Luis ",264, CONTINUING,264,9, CONTINUING,273,2, CONTINUING,275,4, CONTINUING,279,2, CONTINUING,281,4, CONTINUING,285,4, CONTINUING,289,4, DEFEATED -- 8th count,293,-293, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0
"Mello, Gary W. ",107, CONTINUING,107,4, CONTINUING,111,1, CONTINUING,112,8, CONTINUING,120,1, CONTINUING,121,1, CONTINUING,122,1, DEFEATED -- 7th count,123,-123, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0
"Yarden, Elie ",102, CONTINUING,102,1, CONTINUING,103,2, CONTINUING,105,7, CONTINUING,112,5, CONTINUING,117,1, DEFEATED -- 6th count,118,-118, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0
"Lee, James ",91, CONTINUING,91,10, CONTINUING,101,1, CONTINUING,102,3, CONTINUING,105,1, DEFEATED -- 5th count,106,-106, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0
"Phillips, Lesley Rebec. ",82, CONTINUING,82,7, CONTINUING,89,8, CONTINUING,97,1, DEFEATED -- 4th count,98,-98, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0
