,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Harding, Jr., Richard ",836, CONTINUING,836,57, CONTINUING,893,12, CONTINUING,905,2, CONTINUING,907,1, CONTINUING,908,0, CONTINUING,908,8, CONTINUING,916,8, CONTINUING,924,30, CONTINUING,954,8, CONTINUING,962,11, CONTINUING,973,22, CONTINUING,995,21, CONTINUING,1016,19, CONTINUING,1035,136, CONTINUING,1171,73, CONTINUING,1244,104, DEFEATED -- 17th count,1348,-1348, DEFEATED -- 17th count,0,0, DEFEATED -- 17th count,0
"Gebru, Samuel ",787, CONTINUING,787,21, CONTINUING,808,19, CONTINUING,827,2, CONTINUING,829,2, CONTINUING,831,4, CONTINUING,835,3, CONTINUING,838,5, CONTINUING,843,24, CONTINUING,867,4, CONTINUING,871,14, CONTINUING,885,24, CONTINUING,909,38, CONTINUING,947,61, DEFEATED -- 14th count,1008,-1008, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0
"Tierney, Sean ",779, CONTINUING,779,9, CONTINUING,788,6, CONTINUING,794,5, CONTINUING,799,1, CONTINUING,800,3, CONTINUING,803,7, CONTINUING,810,9, CONTINUING,819,5, CONTINUING,824,7, CONTINUING,831,13, CONTINUING,844,31, CONTINUING,875,127, CONTINUING,1002,38, CONTINUING,1040,105, DEFEATED -- 15th count,1145,-1145, DEFEATED -- 15th count,0,0, DEFEATED -- 15th count,0,0, DEFEATED -- 15th count,0,0, DEFEATED -- 15th count,0
"Sivongxay, Vatsady ",740, CONTINUING,740,18, CONTINUING,758,50, CONTINUING,808,2, CONTINUING,810,5, CONTINUING,815,10, CONTINUING,825,13, CONTINUING,838,20, CONTINUING,858,4, CONTINUING,862,19, CONTINUING,881,34, CONTINUING,915,7, CONTINUING,922,30, CONTINUING,952,125, CONTINUING,1077,92, CONTINUING,1169,53, DEFEATED -- 16th count,1222,-1222, DEFEATED -- 16th count,0,0, DEFEATED -- 16th count,0,0, DEFEATED -- 16th count,0
"Musgrave, Adriane ",580, CONTINUING,580,5, CONTINUING,585,3, CONTINUING,588,4, CONTINUING,592,2, CONTINUING,594,4, CONTINUING,598,1, CONTINUING,599,4, CONTINUING,603,6, CONTINUING,609,4, CONTINUING,613,13, CONTINUING,626,13, DEFEATED -- 12th count,639,-639, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0
"Okamoto, Nadya T. ",550, CONTINUING,550,8, CONTINUING,558,7, CONTINUING,565,8, CONTINUING,573,1, CONTINUING,574,15, CONTINUING,589,12, CONTINUING,601,24, CONTINUING,625,13, CONTINUING,638,10, CONTINUING,648,18, CONTINUING,666,13, CONTINUING,679,39, DEFEATED -- 13th count,718,-718, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0
"Burgin, Josh M. ",392, CONTINUING,392,1, CONTINUING,393,3, CONTINUING,396,7, CONTINUING,403,0, CONTINUING,403,3, CONTINUING,406,2, CONTINUING,408,6, CONTINUING,414,16, CONTINUING,430,3, CONTINUING,433,8, DEFEATED -- 11th count,441,-441, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0
"Volmar, Gwen Thomas ",248, CONTINUING,248,4, CONTINUING,252,4, CONTINUING,256,3, CONTINUING,259,2, CONTINUING,261,3, CONTINUING,264,6, CONTINUING,270,12, CONTINUING,282,7, CONTINUING,289,10, DEFEATED -- 10th count,299,-299, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0
"Levy, Ilan ",246, CONTINUING,246,3, CONTINUING,249,2, CONTINUING,251,0, CONTINUING,251,13, CONTINUING,264,5, CONTINUING,269,3, CONTINUING,272,2, CONTINUING,274,2, DEFEATED -- 9th count,276,-276, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0
"Benjamin, Ronald ",242, CONTINUING,242,11, CONTINUING,253,1, CONTINUING,254,3, CONTINUING,257,2, CONTINUING,259,2, CONTINUING,261,3, CONTINUING,264,5, DEFEATED -- 8th count,269,-269, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0
"D'Ambrosio, Olivia ",216, CONTINUING,216,4, CONTINUING,220,2, CONTINUING,222,4, CONTINUING,226,2, CONTINUING,228,3, CONTINUING,231,6, DEFEATED -- 7th count,237,-237, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0
"Santos, Jeff ",147, CONTINUING,147,2, CONTINUING,149,4, CONTINUING,153,5, CONTINUING,158,1, CONTINUING,159,9, DEFEATED -- 6th count,168,-168, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0
"Pillai, Hari I. ",107, CONTINUING,107,2, CONTINUING,109,5, CONTINUING,114,1, CONTINUING,115,0, DEFEATED -- 5th count,115,-115, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0
"Lenke, Dan ",54, CONTINUING,54,2, CONTINUING,56,0, CONTINUING,56,3, DEFEATED -- 4th count,59,-59, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0
"Moree, Gregg J. ",46, CONTINUING,46,1, CONTINUING,47,0, DEFEATED -- 3rd count,47,-47, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0
"Sutton, Bryan ",45, CONTINUING,45,2, CONTINUING,47,0, DEFEATED -- 3rd count,47,-47, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0
Write-In 1 ,21, CONTINUING,21,1, CONTINUING,22,0, DEFEATED -- 3rd count,22,-22, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0
EXHAUSTED PILE: ,0, ,0,0, ,0,0, ,0,20, ,20,6, ,26,9, ,35,24, ,59,15, ,74,83, ,157,20, ,177,33, ,210,107, ,317,26, ,343,121, ,464,206, ,670,146, ,816,278, ,1094,697, ,1791,872, ,2663
