,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Pitkin, John ",536, CONTINUING,536,5, CONTINUING,541,1, CONTINUING,542,3, CONTINUING,545,4, CONTINUING,549,13, CONTINUING,562,13, CONTINUING,575,10, CONTINUING,585,11, CONTINUING,596,98, DEFEATED -- 10th count,694,-694, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0
"Kopon, Derek Andrew ",493, CONTINUING,493,1, CONTINUING,494,3, CONTINUING,497,2, CONTINUING,499,12, CONTINUING,511,4, CONTINUING,515,5, CONTINUING,520,26, CONTINUING,546,13, DEFEATED -- 9th count,559,-559, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0,0, DEFEATED -- 9th count,0
"Akiba, Sukia ",362, CONTINUING,362,7, CONTINUING,369,2, CONTINUING,371,5, CONTINUING,376,8, CONTINUING,384,3, CONTINUING,387,11, CONTINUING,398,17, DEFEATED -- 8th count,415,-415, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0
"Franklin, Charles J. ",323, CONTINUING,323,6, CONTINUING,329,3, CONTINUING,332,5, CONTINUING,337,7, CONTINUING,344,5, CONTINUING,349,21, DEFEATED -- 7th count,370,-370, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0
"Simon, Ben ",294, CONTINUING,294,6, CONTINUING,300,3, CONTINUING,303,2, CONTINUING,305,5, CONTINUING,310,1, DEFEATED -- 6th count,311,-311, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0
"Mednick, Risa ",244, CONTINUING,244,8, CONTINUING,252,0, CONTINUING,252,6, CONTINUING,258,2, DEFEATED -- 5th count,260,-260, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0
"Levy, Ilan ",110, CONTINUING,110,1, CONTINUING,111,2, CONTINUING,113,4, DEFEATED -- 4th count,117,-117, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0
"McNary, Jeffery ",77, CONTINUING,77,0, CONTINUING,77,3, DEFEATED -- 3rd count,80,-80, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0
"Moree, Gregg J. ",47, CONTINUING,47,0, DEFEATED -- 2nd count,47,-47, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 1 ,17, CONTINUING,17,0, DEFEATED -- 2nd count,17,-17, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 2 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 3 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 4 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 5 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 6 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 7 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 8 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 9 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
EXHAUSTED PILE: ,0, ,0,0, ,0,15, ,15,4, ,19,9, ,28,14, ,42,22, ,64,17, ,81,35, ,116,23, ,139,47, ,186,93, ,279,84, ,363,213, ,576,1547, ,2123
