CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	-363  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2532  	 ELECTED -- 1st count
McGovern, Marc C. 	+63  	1943  	 CONTINUING
Devereux, Jan 	+38  	1737  	 CONTINUING
Toomey, Jr., Timothy J. 	+46  	1665  	 CONTINUING
Zondervan, Quinton Y. 	+7  	1572  	 CONTINUING
Mallon, Alanna M. 	+12  	1341  	 CONTINUING
Carlone, Dennis J. 	+13  	1189  	 CONTINUING
Kelley, Craig A. 	+21  	1113  	 CONTINUING
Toner, Paul F. 	+12  	992  	 CONTINUING
Harding, Jr., Richard 	+57  	893  	 CONTINUING
Gebru, Samuel 	+21  	808  	 CONTINUING
Tierney, Sean 	+9  	788  	 CONTINUING
Sivongxay, Vatsady 	+18  	758  	 CONTINUING
Musgrave, Adriane B. 	+5  	585  	 CONTINUING
Okamoto, Nadya T. 	+8  	558  	 CONTINUING
Burgin, Josh M. 	+1  	393  	 CONTINUING
Benjamin, Ronald 	+11  	253  	 CONTINUING
Volmar, Gwen Thomas 	+4  	252  	 CONTINUING
Levy, Ilan 	+3  	249  	 CONTINUING
D'Ambrosio, Olivia 	+4  	220  	 CONTINUING
Santos, Jeff 	+2  	149  	 CONTINUING
Pillai, Hari I. 	+2  	109  	 CONTINUING
Lenke, Dan 	+2  	56  	 CONTINUING
Moree, Gregg J. 	+1  	47  	 CONTINUING
Sutton, Bryan 	+2  	47  	 CONTINUING
Write-In 1 	+1  	22  	 CONTINUING
EXHAUSTED PILE: 	0  	0  	 
