CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	-279  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+16  	1959  	 CONTINUING
Devereux, Jan 	+30  	1767  	 CONTINUING
Toomey, Jr., Timothy J. 	+5  	1670  	 CONTINUING
Zondervan, Quinton Y. 	+37  	1609  	 CONTINUING
Mallon, Alanna M. 	+31  	1372  	 CONTINUING
Carlone, Dennis J. 	+22  	1211  	 CONTINUING
Kelley, Craig A. 	+10  	1123  	 CONTINUING
Toner, Paul F. 	+10  	1002  	 CONTINUING
Harding, Jr., Richard 	+12  	905  	 CONTINUING
Gebru, Samuel 	+19  	827  	 CONTINUING
Sivongxay, Vatsady 	+50  	808  	 CONTINUING
Tierney, Sean 	+6  	794  	 CONTINUING
Musgrave, Adriane B. 	+3  	588  	 CONTINUING
Okamoto, Nadya T. 	+7  	565  	 CONTINUING
Burgin, Josh M. 	+3  	396  	 CONTINUING
Volmar, Gwen Thomas 	+4  	256  	 CONTINUING
Benjamin, Ronald 	+1  	254  	 CONTINUING
Levy, Ilan 	+2  	251  	 CONTINUING
D'Ambrosio, Olivia 	+2  	222  	 CONTINUING
Santos, Jeff 	+4  	153  	 CONTINUING
Pillai, Hari I. 	+5  	114  	 CONTINUING
Lenke, Dan 	0  	56  	 CONTINUING
Moree, Gregg J. 	0  	47  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	47  	 DEFEATED -- 3rd count
Write-In 1 	0  	22  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	0  	0  	 
